发行人名称,首次违约日
远洋资本控股有限公司,8/13/2023
银城国际控股有限公司,3/7/2023
龙光集团有限公司,8/18/2022
武汉当代科技产业集团股份有限公司,6/16/2022
海伦堡中国控股有限公司,11/8/2022
祥生控股(集团)有限公司,3/20/2022
时代中国控股有限公司,1/3/2023
上坤地产集团有限公司,7/21/2022
宝龙地产控股有限公司,7/25/2022
三盛控股(集团)有限公司,7/5/2022
领地控股集团有限公司,6/27/2022
世茂集团控股有限公司,6/14/2022
大发地产集团有限公司,1/18/2022
大唐集团控股有限公司,6/6/2022
金科地产集团股份有限公司,12/28/2022
中梁控股集团有限公司,5/19/2022
香港俊发地产有限公司,7/24/2022
福建阳光集团有限公司,11/10/2021
正荣地产集团有限公司,3/6/2022
鑫苑置业有限公司,10/11/2022
阳光100中国控股有限公司,8/11/2021
中国奥园集团股份有限公司,1/20/2022
德信中国控股有限公司,12/3/2022
弘阳地产集团有限公司,8/12/2022
阳光城集团股份有限公司,1/11/2022
建业地产股份有限公司,6/23/2023
力高地产集团有限公司,9/17/2022
新力控股(集团)有限公司,10/18/2021
江苏南通三建集团股份有限公司,6/17/2022
易居(中国)企业控股有限公司,4/18/2022
华夏幸福基业股份有限公司,2/28/2021
四川蓝光发展股份有限公司,7/11/2021
北京鸿坤伟业房地产开发有限公司,4/8/2022
祥生地产集团有限公司,1/23/2022
景瑞控股有限公司,3/11/2022
弘阳集团有限公司,8/27/2022
当代置业(中国)有限公司,10/25/2021
瑞幸咖啡(中国)有限公司,8/14/2020
融信中国控股有限公司,7/9/2022
天誉置业(控股)有限公司,6/24/2022
启迪控股股份有限公司,8/15/2021
江苏中南建设集团股份有限公司,6/8/2022
北大资源集团有限公司,7/21/2020
新华联控股有限公司,1/4/2021
泰禾集团股份有限公司,8/10/2020
佳源国际控股有限公司,5/2/2022
中国恒大集团,11/6/2021
融创中国控股有限公司,5/11/2022
合景泰富集团控股有限公司,9/1/2023
国瑞健康产业有限公司,2/27/2022
苏宁电器集团有限公司,9/11/2021
MI能源控股有限公司,5/11/2020
花样年控股集团有限公司,10/4/2021
禹洲集团控股有限公司,1/23/2022
中泛控股有限公司,1/26/2022
北大方正集团有限公司,2/18/2020
恒大地产集团有限公司,11/6/2021
泛海控股股份有限公司,4/30/2021
中国地产集团有限公司,10/15/2021
恒成国际发展有限公司,10/14/2021
刚泰集团有限公司,10/26/2018
紫光集团有限公司,12/10/2020
协鑫新能源控股有限公司,1/30/2021
旭辉控股(集团)有限公司,1/23/2023
山东三星集团有限公司,1/23/2021
海隆控股有限公司,6/22/2020
东旭集团有限公司,6/12/2020
中融新大集团有限公司,5/26/2020
宜华企业(集团)有限公司,5/23/2020
中国水发兴业能源集团有限公司,10/17/2018
天津房地产集团有限公司,9/29/2020
中国汇源果汁集团有限公司,3/17/2020
青海省投资集团有限公司,1/10/2020
世纪阳光集团控股有限公司,7/3/2020
鹏博士电信传媒集团股份有限公司,12/1/2021
华晨电力股份公司,12/18/2019
天津物产集团有限公司,4/6/2020
山东玉皇化工有限公司,4/26/2020
康得新复合材料集团股份有限公司,4/16/2019
来宝集团有限公司,3/21/2018
洛娃科技实业集团有限公司,12/6/2018
中国华信能源有限公司,5/21/2018
海航集团有限公司,1/29/2021
巨星医疗控股有限公司,9/15/2021
海口美兰国际机场有限责任公司,9/20/2019
嘉年华国际控股有限公司,3/22/2019
中国民生投资股份有限公司,4/18/2019
中民投国际资本有限公司,4/18/2019
五洲国际控股有限公司,8/5/2018
中国国储能源化工集团股份公司,5/11/2018
新昌集团控股有限公司,6/18/2018
山东山水水泥集团有限公司,3/15/2016
太平洋恩利国际控股有限公司,2/5/2016
太平洋恩利资源发展有限公司,2/5/2016
远洋集团控股有限公司,8/13/2023
中国城市建设控股集团有限公司,6/20/2016
佳兆业集团控股有限公司,1/5/2015
御泰中彩控股有限公司,2/27/2017
广东国际信托投资公司,11/15/1998
广东粤海控股集团有限公司,7/9/1999
京域高速公路有限公司,6/12/2000
亚洲浆纸业有限公司,3/20/2001
金光纸业(中国)投资有限公司,3/20/2001
福建投资企业集团公司,2/7/2002
丽新发展有限公司,4/7/2003
福晟国际控股集团有限公司,10/6/2008
金至尊珠宝控股有限公司,10/17/2008
亚洲铝业(中国)有限公司,3/16/2009
中国中科智担保集团股份有限公司,6/29/2009
峻煌生化科技集团有限公司,9/25/2009
鲜驰达控股集团有限公司,10/19/2009
嵘燊集团有限公司,1/5/2010
盛大科技(集团)股份有限公司,7/15/2011
中国医疗技术公司,1/14/2012
泰山石化集团有限公司,3/18/2012
镍资源国际控股有限公司,12/24/2012
嵩天集团有限公司,1/30/2013
美国东方生物技术有限公司,2/14/2013
尚德电力控股有限公司,3/15/2013
江西赛维LDK太阳能高科技有限公司,4/15/2013
中国森林控股有限公司,6/16/2014
易大宗控股有限公司,5/8/2015
恒鼎实业国际发展有限公司,12/4/2015
中渔集团有限公司,2/29/2016
山东如意科技集团有限公司,4/1/2021
