Value,Month1,Date_Start,Date_End,MM,YYYY
December 17-18*,December,12/17/2024,12/18/2024,12,2024
November 6-7,November,11/6/2024,11/7/2024,11,2024
September 17-18*,September,9/17/2024,9/18/2024,9,2024
July 30-31,July,7/30/2024,7/31/2024,7,2024
June 11-12*,June,6/11/2024,6/12/2024,6,2024
Apr/May 30-1,Apr,4/30/2024,5/1/2024,5,2024
March 19-20*,March,3/19/2024,3/20/2024,3,2024
January 30-31,January,1/30/2024,1/31/2024,1,2024
December 12-13*,December,12/12/2023,12/13/2023,12,2023
Oct/Nov 31-1,Oct,10/31/2023,11/1/2023,11,2023
September 19-20*,September,9/19/2023,9/20/2023,9,2023
July 25-26,July,7/25/2023,7/26/2023,7,2023
June 13-14*,June,6/13/2023,6/14/2023,6,2023
May 2-3,May,5/2/2023,5/3/2023,5,2023
March 21-22*,March,3/21/2023,3/22/2023,3,2023
Jan/Feb 31-1,Jan,1/31/2023,2/1/2023,2,2023
December 13-14*,December,12/13/2022,12/14/2022,12,2022
November 1-2,November,11/1/2022,11/2/2022,11,2022
September 20-21*,September,9/20/2022,9/21/2022,9,2022
July 26-27,July,7/26/2022,7/27/2022,7,2022
June 14-15*,June,6/14/2022,6/15/2022,6,2022
May 3-4,May,5/3/2022,5/4/2022,5,2022
March 15-16*,March,3/15/2022,3/16/2022,3,2022
January 25-26,January,1/25/2022,1/26/2022,1,2022
December 14-15*,December,12/14/2021,12/15/2021,12,2021
November 2-3,November,11/2/2021,11/3/2021,11,2021
September 21-22*,September,9/21/2021,9/22/2021,9,2021
July 27-28,July,7/27/2021,7/28/2021,7,2021
June 15-16*,June,6/15/2021,6/16/2021,6,2021
April 27-28,April,4/27/2021,4/28/2021,4,2021
March 16-17*,March,3/16/2021,3/17/2021,3,2021
January 26-27,January,1/26/2021,1/27/2021,1,2021
April 28-29,April,4/28/2020,4/29/2020,4,2020
March 31 (notation vote),March,3/31/2020,3/31/2020,3,2020
March 23 (notation vote),March,3/23/2020,3/23/2020,3,2020
March 19 (notation vote),March,3/19/2020,3/19/2020,3,2020
March 17-18* (cancelled),March,3/17/2020,3/18/2020,3,2020
March 15 (unscheduled),March,3/15/2020,3/15/2020,3,2020
March 3 (unscheduled),March,3/3/2020,3/3/2020,3,2020
January 28-29,January,1/28/2020,1/29/2020,1,2020
October 29-30,October,10/29/2019,10/30/2019,10,2019
October 4 (unscheduled),October,10/4/2019,10/4/2019,10,2019
September 17-18*,September,9/17/2019,9/18/2019,9,2019
July 30-31,July,7/30/2019,7/31/2019,7,2019
June 18-19*,June,6/18/2019,6/19/2019,6,2019
April/May 30-1,April,4/30/2019,5/1/2019,5,2019
March 19-20*,March,3/19/2019,3/20/2019,3,2019
January 29-30,January,1/29/2019,1/30/2019,1,2019
December 18-19*,December,12/18/2018,12/19/2018,12,2018
November 7-8,November,11/7/2018,11/8/2018,11,2018
September 25-26*,September,9/25/2018,9/26/2018,9,2018
Jul/Aug 31-1,Jul,7/31/2018,8/1/2018,8,2018
June 12-13*,June,6/12/2018,6/13/2018,6,2018
May 1-2,May,5/1/2018,5/2/2018,5,2018
March 20-21*,March,3/20/2018,3/21/2018,3,2018
January 30-31,January,1/30/2018,1/31/2018,1,2018
