COMPARER,R3,多笔,PROJECT_NAME,承销费.原币,补齐.承销费.原币
190919SILKROAD,5亿美元,1,Silkroad,3200,3200
190910OSMANTHUS,3亿美元,1,Osmanthus III,87824,87824
190808CD,3亿美元,1,CD,0,0
190725IVY,9亿美元高级永续债券,2,Ivy,54800,27400
190711DREAM,3.5亿美元,1,Dream,0,0
190702AQUA,3亿美元,1,Aqua II,0,0
190702POLARIS,8亿美元,1,Polaris,0,0
190626GHATG,3亿美元,1,GHATG V,50000,50000
190626BLUESEA,增发4000万美元,1,Bluesea Tap,0,0
190624TAVOR,增发双批次5亿美元,2,Tavor XII Tap,50000,25000
190620SAIL,3亿美元,1,Sail,0,0
190619KNOT,5亿美元,1,Knot,49411,49411
190618BRIDGE,8100万美元,1,Bridge,0,0
190618PEARL,1.89亿美元,1,Pearl Tap,3000,3000
190611INVENTION,5.5亿美元,1,Invention VII,0,0
190606GOLDRUSH,2.5亿美元,1,Goldrush II,144000,144000
190528DOLLAR,5亿美元,1,Dollar 002,50000,50000
190522JINSHAN,双批次人民币28亿元,2,Jinshan VIII,11501,5750.5
190521PLATINUM,1亿美元,1,Platinum,0,0
190515RIVER,4亿美元,1,River II,19920,19920
190515BLUESEA,1.8亿美元,1,Bluesea,125000,125000
190509ENERGY,增发1亿美元,1,Energy Tap,45000,45000
190509RUYI,增发5亿美元,1,Ruyi IV Tap,60000,60000
190417IRONMAN,3亿美元,1,Ironman,80000,80000
190410LANDMARK,2亿美元,1,Landmark III,13000,13000
190410HAIWAI,3亿美元,1,Haiwai II,21600,21600
190328CLOUD,8亿美元,1,Cloud 2,60000,60000
190327JOY,4.6亿美元,1,Joy IV,50000,50000
190327CAVENDISH,双批次10亿美元,2,Cavendish,250000,125000
190314CORAL,8亿美元,1,Coral III,40000,40000
190311RUIQUAN,5亿美元,1,Ruiquan,112500,112500
190308CCV,增发2亿美元,1,CC V Tap,0,0
190228INVENTION,3.5亿美元,1,Invention VI,55000,55000
190227GOLDENGLOBE,1亿美元,1,Golden Globe V,40000,40000
190226JADE,6亿美元,1,Jade,11733,11733
190225RAINBOW,5亿美元,1,Rainbow,150000,150000
190221ARCHIMEDES,5.3亿美元,1,Archimedes,300000,300000
190218EAGLE,6亿美元,1,Eagle,90000,90000
190213MORNINGSUN,增发5000万美元,1,Morning Sun III Tap,37500,37500
190131BLOSSOM,5亿美元,1,Blossom,25000,25000
190115LEAD,5亿美元,1,Lead,600000,600000
190115BMHK,双批次15亿美元,2,BMHK,475000,237500
190108MORNINGSUN,5.5亿美元,1,Morning Sun III,40000,40000
