Date,假期简称
12/26/2024,圣诞节
12/25/2024,圣诞节
10/11/2024,重阳节
10/1/2024,国庆节
9/18/2024,中秋节
7/1/2024,回归纪念日
6/10/2024,端午节
5/15/2024,佛诞
5/1/2024,劳动节
4/4/2024,清明节
4/1/2024,复活节
3/30/2024,复活节
3/29/2024,复活节
2/13/2024,春节
2/12/2024,春节
2/10/2024,春节
1/1/2024,元旦
12/26/2023,圣诞节
12/25/2023,圣诞节
10/23/2023,重阳节
10/2/2023,国庆节
9/30/2023,中秋节
7/1/2023,回归纪念日
6/22/2023,端午节
5/26/2023,佛诞
5/1/2023,劳动节
4/10/2023,复活节
4/8/2023,复活节
4/7/2023,复活节
4/5/2023,清明节
1/25/2023,春节
1/24/2023,春节
1/23/2023,春节
1/2/2023,元旦
12/27/2022,圣诞节
12/26/2022,圣诞节
10/4/2022,重阳节
10/1/2022,国庆节
9/12/2022,中秋节
7/1/2022,回归纪念日
6/3/2022,端午节
5/9/2022,佛诞
5/2/2022,劳动节
4/18/2022,复活节
4/16/2022,复活节
4/15/2022,复活节
4/5/2022,清明节
2/3/2022,春节
2/2/2022,春节
2/1/2022,春节
1/1/2022,元旦
12/27/2021,圣诞节
12/25/2021,圣诞节
10/14/2021,重阳节
10/1/2021,国庆节
9/22/2021,中秋节
7/1/2021,回归纪念日
6/14/2021,端午节
5/19/2021,佛诞
5/1/2021,劳动节
4/6/2021,复活节
4/5/2021,清明节
4/3/2021,复活节
4/2/2021,复活节
2/15/2021,春节
2/13/2021,春节
2/12/2021,春节
1/1/2021,元旦
12/26/2020,圣诞节
12/25/2020,圣诞节
10/26/2020,重阳节
10/2/2020,中秋节
10/1/2020,国庆节
7/1/2020,回归纪念日
6/25/2020,端午节
5/1/2020,劳动节
4/30/2020,佛诞
4/13/2020,复活节
4/11/2020,复活节
4/10/2020,复活节
4/4/2020,清明节
1/28/2020,春节
1/27/2020,春节
1/25/2020,春节
1/1/2020,元旦
12/26/2019,圣诞节
12/25/2019,圣诞节
10/7/2019,重阳节
10/1/2019,国庆节
9/14/2019,中秋节
7/1/2019,回归纪念日
6/7/2019,端午节
5/13/2019,佛诞
5/1/2019,劳动节
4/22/2019,复活节
4/20/2019,复活节
4/19/2019,复活节
4/5/2019,清明节
2/7/2019,春节
2/6/2019,春节
2/5/2019,春节
1/1/2019,元旦
12/26/2018,圣诞节
12/25/2018,圣诞节
10/17/2018,重阳节
10/1/2018,国庆节
9/25/2018,中秋节
7/2/2018,回归纪念日
6/18/2018,端午节
5/22/2018,佛诞
5/1/2018,劳动节
4/5/2018,清明节
4/2/2018,复活节
3/31/2018,复活节
3/30/2018,复活节
2/19/2018,春节
2/17/2018,春节
2/16/2018,春节
1/1/2018,元旦
