天气警告分类,天气警告信号,警告发布日期,警告发布,警告终结日期,警告终结时分,天气警告备注
超强台风,8东南,8/14/2013,1:40,8/14/2013,13:40,尤特
超强台风,8西北,9/22/2013,18:40,9/23/2013,0:25,天兔
超强台风,8西南,9/23/2013,0:25,9/23/2013,9:20,天兔
台风,8东南,9/15/2014,22:30,9/16/2014,10:40,海鷗
台风,8西北,7/9/2015,16:40,7/9/2015,22:10,蓮花
台风,8西北,8/1/2016,20:40,8/2/2016,4:40,妮妲
台风,8西南,8/2/2016,4:40,8/2/2016,12:40,妮妲
超强台风,8西北,10/21/2016,6:10,10/21/2016,14:15,海馬
超强台风,8西南,10/21/2016,14:15,10/21/2016,17:20,海馬
强烈热带风暴,8东北,6/12/2017,17:20,6/12/2017,20:20,苗柏
强烈热带风暴,8西北,6/12/2017,20:20,6/13/2017,0:10,苗柏
强烈热带风暴,8西南,6/13/2017,0:10,6/13/2017,4:40,苗柏
热带风暴,8西北,7/23/2017,9:20,7/23/2017,13:20,洛克
超强台风,8东北,8/23/2017,5:20,8/23/2017,8:10,天鴿
超强台风,9,8/23/2017,8:10,8/23/2017,9:10,天鴿
超强台风,10,8/23/2017,9:10,8/23/2017,14:10,天鴿
超强台风,8东南,8/23/2017,14:10,8/23/2017,17:10,天鴿
强烈热带风暴,8东南,8/27/2017,5:10,8/27/2017,13:40,帕卡
强台风,8东北,10/15/2017,8:40,10/15/2017,19:20,卡努
超强台风,8东北,9/16/2018,1:10,9/16/2018,7:40,山竹
超强台风,9,9/16/2018,7:40,9/16/2018,9:40,山竹
超强台风,10,9/16/2018,9:40,9/16/2018,19:40,山竹
超强台风,8东南,9/16/2018,19:40,9/17/2018,5:20,山竹
热带风暴,8东北,7/31/2019,13:40,7/31/2019,23:40,韋帕
台风,8东北,8/18/2020,22:40,8/19/2020,1:30,海高斯
台风,9,8/19/2020,1:30,8/19/2020,7:40,海高斯
台风,8东南,8/19/2020,7:40,8/19/2020,11:10,海高斯
热带风暴,8东北,10/13/2020,5:40,10/13/2020,19:40,浪卡
热带风暴,8东南,10/9/2021,6:40,10/10/2021,4:40,獅子山
台风,8东北,10/12/2021,17:20,10/13/2021,16:40,圓規
台风,8东南,7/1/2022,19:10,7/2/2022,16:20,暹芭
台风,8东北,8/24/2022,19:25,8/25/2022,1:40,馬鞍
台风,8东南,8/25/2022,1:40,8/25/2022,9:20,馬鞍
强烈热带风暴,8西北,11/2/2022,13:40,11/2/2022,20:40,尼格
强烈热带风暴,8东北,11/2/2022,20:40,11/3/2022,2:40,尼格
强烈热带风暴,8东南,11/3/2022,2:40,11/3/2022,5:20,尼格
台风,8东北,7/17/2023,0:40,7/17/2023,6:40,泰利
台风,8东南,7/17/2023,6:40,7/17/2023,16:20,泰利
超强台风,8西北,9/1/2023,2:40,9/1/2023,18:20,蘇拉
超强台风,9,9/1/2023,18:20,9/1/2023,20:15,蘇拉
超强台风,10,9/1/2023,20:15,9/2/2023,3:40,蘇拉
超强台风,8东南,9/2/2023,3:40,9/2/2023,16:20,蘇拉
强台风,8东北,10/8/2023,12:40,10/8/2023,19:00,小犬
强台风,9,10/8/2023,19:00,10/8/2023,23:50,小犬
强台风,8东北,10/8/2023,23:50,10/9/2023,11:40,小犬
暴雨,黑色,5/22/2013,4:10,5/22/2013,9:45,
暴雨,黑色,3/30/2014,20:40,3/30/2014,22:30,
暴雨,黑色,5/8/2014,22:30,5/8/2014,23:40,
暴雨,黑色,5/26/2015,10:25,5/26/2015,11:30,
暴雨,黑色,10/19/2016,16:00,10/19/2016,17:15,
暴雨,黑色,5/24/2017,11:30,5/24/2017,12:30,
暴雨,黑色,6/6/2020,2:55,6/6/2020,5:40,
暴雨,黑色,9/30/2020,20:10,9/30/2020,21:25,
暴雨,黑色,6/28/2021,8:20,6/28/2021,11:05,
暴雨,黑色,10/8/2021,11:45,10/8/2021,12:45,
暴雨,黑色,9/7/2023,23:05,9/8/2023,15:40,
暴雨,黑色,10/9/2023,4:00,10/9/2023,10:30,
